Author	Year	Title	keywords	abstract
"Balme, G"	2007	Feeding habitat selection by hunting leopards Panthera pardus in a woodland savanna: prey catchability versus abundance	foraging decisions; habitat selection; hunting strategy; leopard; Panthera pardus; prey abundance; predator-prey interaction; resource selection	"We used 44 months of radiotelemetry data to investigate the selection of feeding habitats by leopards in Phinda Private Game Reserve, South Africa. We assessed whether leopards hunted in certain habitats disproportionately to their availability and we investigated the factors influencing selection of feeding habitats. We also compared the number of kills and relative success rates of observed hunts in different vegetation types with available prey biomass and the degree of cover within each habitat. Leopards preferred hunting in habitats where prey was easier to catch rather than where prey was more abundant. However, in contrast to expectations, the apparent ‘catchability’ of prey was not proportional to the amount of cover provided by each habitat type. Instead, the probability of a kill occurring was greater in areas with intermediate cover levels, and these habitat types were favoured by leopards for hunting. There was no significant difference in the success rates of observed hunts in different habitats, suggesting that reduced detectability of prey in denser vegetation was the principal factor governing the decreased occurrence of kills there. Kleptoparasitism was relatively uncommon at Phinda, and there was no significant difference in the number of kills lost to other predators, or the likelihood of a carcass being hoisted in different vegetation types. Our results suggest that leopards are not ‘supergeneralists’ as widely portrayed and, at least in their choice of hunting habitat, show a degree of specialization that is previously undocumented. We suggest this is likely to influence local population densities and resilience to threats, and we discuss the need for fine-scale understanding of the species' ecological requirements in planning for its conservation."
"Bence, JR"	1986	Prey Size Selection by the Mosquitofish: Relation to Optimal Diet Theory	density-dependent; optimal diet; predation; satiation; size selection	"We investigated size-selective predation upon Daphnia pulex and D. magna by the mosquitofish (Gambusia). The independent variables were the relative size of predator and prey, prey density, and predator satiation. Gambusia actively chose to attack small prey (which we showed to be more profitable). Gambusia's preference increased monotonically, or decreased, or peaked at an intermediate prey size, depending upon fish size, prey size, and fish satiation level. These results contrast with the hypothesis that ""gape-limited predators"" select the largest prey available, and ""sizelimited predators"" select small or intermediate-sized prey. Optimal diet theory predicts that a predator should drop less profitable prey items from the diet at higher prey densities. In contrast, Gambusia maintained a mixed diet and its preferences did not change in response to changes in either the absolute or the relative abundance of prey. Moreover, the ingestion rate would have been higher if less profitable (larger) prey types had been ignored. Gambusia did sharply alter its size-selective feeding behavior in response to its own satiation level, and we expect that this factor is correlated with prey density in the field. Well-fed fish concentrated their attacks, to a greater degree than starved fish, on small, more profitable prey. They also ingested less biomass per unit time. This last result suggests that maximizing food intake per unit time may not be the goal of well-fed fish, and that different criteria may determine the profitability of prey at different prey densities."
"Bergelson, JM"	1985	A Mechanistic Interpretation of Prey Selection by Anax junius Larvae (Odonata: Aeschnidae)	Anax junius; capture success; foraging behavior; mechanism; Odonata; optimal diet theory; optimal foraging; prey switching; rule of thumb; search image	"Preferential orientation, pursuit, and capture by a predator have been proposed for the establishment of prey preference and prey switching; however, very little is known about which of these behaviors is actually involved in active prey selection. Based on laboratory arena experiments in which the proportions of two prey types were manipulated, I distinguished the specific foraging process underlying prey preference and prey switching in nymphs of the dragonfly Anax junius. Dragonfly nymphs showed a higher probability of pursuing the more abundant of two prey types than predicted from relative prey frequencies. An increase pursuit probability was correlated with an increased capture success on the abundant prey type. I hypothesize that prey selection in Anax junius nymphs results from a simple behavioral rule of thumb; ""Continue to pursue only those prey types you have successfully captured in the immediate past."""
"Bissett, C"	2012	The response of lions (Panthera leo) to changes in prey abundance on an enclosed reserve in South Africa	"Diet switching, Large predators, Predator–prey interaction, Prey preferences"	"Large mammalian carnivores place significant pressure on their prey populations and this is exacerbated within the fenced reserves of Africa. However, foraging theory predicts that diet switching by predators may mitigate this pressure. In this study, we use data collected between 2003 and 2007 from an enclosed system in the Eastern Cape Province of South Africa to examine the response of lions Panthera leo to changes in the abundance of two important prey species — kudu Tragelaphus strepsiceros and warthog Phacochoerus africanus. As the relative abundance of warthogs increased, the number of kudu kills decreased significantly, whereas warthog kills became significantly more frequent. A similar pattern was observed for lion prey preference and the switch from kudu to warthog was also reflected in a significant decrease in the mean prey mass. Our results suggest that a diet shift occurs in lions and that the change in diet is primarily in response to an increase in warthog numbers. Prey switching may promote the persistence of predator–prey systems, which is particularly important for fenced systems where natural immigration of prey is not possible. However, continued collection and analysis of long-term observational data from the multipredator, multiprey systems of Africa is required to facilitate a full understanding of predator–prey dynamics."
"Elliott, JM"	2004	Prey switching in four species of carnivorous stoneflies	"Dinocras cephalotes, Isoperla grammatica, Perla bipunctata, Perlodes microcephalus, Plecoptera"	"1. Previous studies compared the functional responses to their prey, and both intraspecific and interspecific interference, in mature larvae of Dinocras cephalotes, Perla bipunctata, Isoperla grammatica and Perlodes microcephalus. The present study examines switching by larvae of the same species presented with different proportions of two contrasting prey types; larvae of Baetis rhodani and Chironomus sp. In each experiment, 200 prey were arranged in nine different combinations of the two prey types (20 : 180, 40 : 160, 60 : 140, 80 : 120, 100 : 100, 120 : 80, 140 : 60, 160 : 40, 180 : 20). Prey were replaced as they were eaten. A model predicted the functional response in the absence of switching and provided a null hypothesis against which any tendency for switching could be tested. 2. No evidence for prey switching by Dinocras and Perla was obtained, both species showing a slight preference for Baetis over Chironomus. Prey switching occurred in Isoperla and Perlodes. As the relative abundance of one prey type increased in relation to the alternative, the proportion eaten of the former prey changed from less to more than expected from its availability, the relationship being described by an S-shaped curve. Isoperla and Perlodes switched to a preference for Baetis when its percentage of the total available prey exceeded 57 and 42%, respectively. Equivalent values for Chironomus were 43 and 58% for Isoperla and Perlodes, respectively. Switching was strongest in Perlodes. 3. Non-switching in Dinocras and Perla was related to their feeding strategy, both species being more successful when using a non-selective ambush strategy at dusk and dawn rather than a search strategy during the night. Both Isoperla and Perlodes used a search strategy. The smaller Isoperla fed chiefly at dusk and dawn, and preferred Chironomus larvae, whereas most of the larger Perlodes fed continuously from dusk to dawn and preferred Baetis larvae."
"Fester, KSM"	2021	Spotted hyaena Crocuta crocuta feeding ecology and selectivity of large herbivorous prey in the Namib desert	"Crocuta crocuta, feeding ecology, prey selection, spotted hyaena"	"We have investigated the relationship between spotted hyaenas in the south Namib Desert and large herbivorous prey and have summarized an updated overview of predator-prey relationships in this resource-limited arid environment. Over the 52month study, we recorded the densities (#/km−2, ±SE) of the four local large herbivorous prey species: gemsbok (1.229, ±0.50), springbok (1.352, ±0.48), ostrich (0.648, ±0.23), and greater kudu (0.343, ±0.00). A fecal analysis was performed on 146 collected spotted hyaena scats, and prey items were identified and hairs cross-follicle analyzed to the species level. Spotted hyaena diet at the study area remained opportunistic with 240 identified prey items representing eight differing prey species being recorded, ranging from ostrich eggs to large ungulates. The Ivlev's Electivity Index was used to determine which large herbivorous prey was most selected for. Although gemsbok had a higher representation of prey items in the sampled scats, all sampled large herbivorous prey species scored below 0 and are thus generally avoided in relation to their availability in the environment. If any prey preferences are expressed by spotted hyaena in the Namib, it can be presumed to be a nonsampled prey species. We therefore promote further detailed investigations into all other prey species present, and seasonal variations of prey densities and scat sampling, within the study environment."
"Hellström, P"	2014	Functional responses of the rough-legged buzzard in a multi-prey system	Predation; Rodent Cycles; Lemmus; Subarctic	"The functional response is a key element of predator�prey interactions. Basic functional response theory explains foraging behavior of individual predators, but many empirical studies of free-ranging predators have estimated functional responses by using population-averaged data. We used a novel approach to investigate functional responses of an avian predator (the rough legged-buzzard Buteo lagopus Pontoppidan, 1763) to intra-annual spatial variation in rodent density in subarctic sweden, using breeding pairs as the sampling unit. the rough-legged buzzards responded functionally to norwegian lemmings (Lemmus lemmus l. 1758), grey-sided voles (Myodes rufocanus sundevall, 1846) and field voles (Microtus agrestis l. 1761), but different rodent prey were not utilised according to relative abundance. the functional response to norwegian lemmings was a steep type II curve and a more shallow type III response to grey-sided voles. the different shapes of these two functional responses were likely due to combined effects of differences between lemmings and grey-sided voles in habitat utilisation, anti-predator behaviour and size-dependent vulnerability to predation. Diet composition changed less than changes in relative prey abundance, indicating negative switching, with high disproportional use of especially lemmings at low relative densities. Our results suggest that lemmings and voles should be treated separately in future empirical and theoretical studies in order to better understand the role of predation in this study system."
"Hoy, SR"	2021	Negative frequency-dependent prey selection by wolves and its implications on predator–prey dynamics	age structure; Alces alces; Canis lupus; Cervus canadensis; demographic structure; diet selection; foraging strategy; frequency-dependent selection; predator-prey dynamics; selective predation	"Many species exhibit selective foraging behaviour, where consumers use a nonrandom subset of available food types. Yet little is known about how selective foraging behaviour varies with environmental conditions and the community level consequences of such selection dynamics. We examined selective foraging by wolves preying primarily on elk in Yellowstone National Park (YNP) over a 12-year period and on moose in Isle Royale National Park (IRNP) over a 47-year period. Specifically, we assessed how selection for calves and senescent adults varied with their frequency in the environment, wolf abundance and winter severity. Selection for senescent adults decreased as the relative abundance of senescent prey increased (i.e. negative frequency-dependent selection) in both study sites. In IRNP, selection for calves was also negatively frequency dependent and declined with increasing wolf abundance. These results are inconsistent with the pattern of positive frequency-dependent selection expected under the preyswitching hypothesis. These results suggest that selection is primarily driven by intraspecific differences in prey vulnerability and wolves’ interest in minimizing their risk of injury, as opposed to maximizing intake rates. Lastly, we ran simulations to evaluate how predatoreprey dynamics were influenced by dynamic patterns of selection, like those observed in YNP and IRNP. The simulations indicated that predators are more efficient (i.e. steeper slope of the numerical response) when selection for calves is negatively frequency dependent, which results in a lower mean abundance of prey. More importantly, predation is a stronger destabilizing force when selection for calves is negatively frequency dependent. That stronger destabilizing force is indicated by greater variability in the abundance of prey and predators, prey populations being less resilient and a steeper negative slope of the relationship between predation rate and prey population growth rate. As such, our simulation analyses suggest that some of the observed patterns of negative-frequency dependent selection may have important consequences for predatoreprey dynamics."
"Hughes, RN"	1993	"An Experimental Analysis of Frequency-Dependent Predation (Switching) in the 15-Spined Stickleback, Spinachia spinachia"	"switching, frequency-dependent predation, prey-profitability, searching image, 15-spined stickleback"	"1. Fifteen-spined sticklebacks were fed successively changing proportions of contrasted prey, either Gammarus and Artemia or Chaoborus and Artemia, in a series of experiments designed to identify factors contributing to frequency-dependent predation (switching). 2. In all experiments, fish showed the sigmoid response to changing relative abundances of prey, typical of switching. The response showed a time-lag in the order of 30 min (length of a single trial) but, apart from this lag, responses were independent of whether the previous frequency of a particular prey item which had been exposed to the fish was higher or lower than the current frequency. 4. Profitabilities changed with relative abundance, as a result of improved handling efficiency, but did not become transposed in rank. 5. Preferred prey were maintained at sufficient densities to exclude the possibility of a simple optimal foraging explanation of switching. 6. Under most conditions, sticklebacks concentrated their searching towards the bottom of the aquarium, so area-restricted searching did not contribute to switching. 7. Searching modes were similar for all prey. 8. Changing attack efficiency was associated with switching in experiments with Gammarus and Artemia, but not in those with Chaoborus and Artemia. 9. Searching-image formation may have contributed to switching in all cases. Strong supportive evidence, however, was found only in the experiments with Chaoborus and Artemia, in which prey were attacked in non-random sequences, but in which attack efficiency changed little. 10. The time-scale of the switching response in 15-spined sticklebacks is appropriate to the tidal fluctuations in abundance of their natural prey, gammarids and mysids. Switching, however, is unlikely to have a significant effect on the populations of these prey."
"Lacher, TE"	1982	Food Preference as a Function of Resource Abundance with Multiple Prey Types: An Experimental Analysis of Optimal Foraging Theory		"Data were collected on the response of a small population of folivores (Kerodon rupestris: Caviidae) to changes in the absolute abundance of 10 different species of leaves. When absolute abundances were tripled (relative abundances were held constant) the folivore population significantly altered its proportional consumption of food types. In general, preferred foods were consumed in greater relative proportions when abundance was increased and the relative utilization of less preferred foods declined. Otherwise, our results were problematic in relation to the assumptions and predictions of the energy maximization model of optimal foraging theory. First, not all foods of low rank decreased in consumption when we increased the abundance of high-ranked foods. The partial consumption of low-ranked foods (or partial preferences as referred to in the literature) is contrary to the tenets of energy maximization. Second, preferences did not remain consistent from phase to phase. In fact, ranks shifted considerably, especially with respect to high-ranked foods. A number of factors may have been responsible for these contradictions to optimal foraging theory. Folivores may represent an example of the special case of optimal foraging with nutrient constraints (Pulliam 1980). The partial consumption of low-ranked foods would then be expected in this situation. Also, the encounter rate for a given item or type is probably not constant in time or space; the rate of encounter is an ephemeral value, affected by an animal's degree of satiation, and dependent upon its degree of familiarity with the distribution of food items within its foraging area. This suggests that animals are optimal foragers, sensu Charnov, only in the short term. The probability of accepting an item when it is encountered will be either zero or one in the short term, but in the long term (hours, days, seasons, years) it will assume an average value between zero and one. Finally, consumers should evolve search images for types or species, when within-type variability is very small and overlap among types minimal. When within-type variability is large, and distributions of food value overlap a great deal, natural selection should favor consumers that select high value items and do not generalize on a type's average values. We present a scenario which proposes that feeding habits may influence the way a consumer optimizes its foraging behavior. Empirical tests of optimal foraging models based upon energy maximization have upheld theoretical predictions when predators were presented with limited prey choices (e.g., Goss-Custard 1977; Krebs et al. 1977). Tests which have examined more complex situations (Zach and Smith 1980; this paper) suggest that models which include considerations of nutrient constraints (Pulliam 1975) or predator learning (Hughes 1979; Stenseth and Hansson 1979; Pulliam 1980) may, in fact, be more appropriate."
