word,freq
prey,157
species,42
switching,38
selection,26
predators,20
diet,19
response,18
foraging,17
predation,16
abundance,15
functional,14
wolves,13
recorded,13
preference,13
two,13
increased,12
leopards,12
relative,11
study,11
large,11
different,11
may,10
data,10
bison,10
environment,9
less,9
predator,9
rates,9
snow,9
types,9
availability,9
habitat,9
fish,9
sea,9
also,8
available,8
frequencydependent,8
results,8
consumed,8
used,8
feeding,8
taxa,8
perlodes,8
items,8
number,8
abundant,8
densities,8
dynamics,7
responses,7
scats,7
isoperla,7
red,7
numbers,7
time,7
voles,7
disproportionately,7
important,6
population,6
spotted,6
suggest,6
among,6
frequently,6
occurrence,6
preferred,6
significantly,6
size,6
south,6
strategy,6
using,6
density,6
dangerous,6
yvonneae,6
likely,6
lionfish,6
biomass,6
coyotes,6
foxes,6
habitats,6
success,6
profitable,6
kills,6
behaviour,5
calves,5
decreased,5
differences,5
food,5
greater,5
indicated,5
observed,5
populations,5
females,5
hyaena,5
livestock,5
males,5
occurred,5
significant,5
strategies,5
understanding,5
ungulates,5
wild,5
within,5
consumption,5
however,5
towards,5
larvae,5
one,5
stability,5
type,5
herbivorous,5
predator–prey,5
theory,5
behavior,5
ecological,5
lemmings,5
africa,5
preferences,5
systems,5
otters,5
hunting,5
impacts,5
consequences,4
dependent,4
frequency,4
hypothesis,4
level,4
many,4
national,4
negative,4
park,4
patterns,4
rate,4
selective,4
use,4
vulnerability,4
wolf,4
year,4
collected,4
compared,4
studies,4
crocuta,4
relation,4
although,4
analysis,4
araneae,4
changes,4
components,4
generalist,4
include,4
often,4
percentage,4
potential,4
dinocras,4
optimal,4
perla,4
baetis,4
chironomus,4
system,4
dietary,4
canis,4
vulpes,4
investigated,4
mortality,4
potentially,4
relatively,4
small,4
upon,4
satiation,4
kudu,4
gambusia,4
warthog,4
strong,4
communities,4
analyses,3
community,3
elk,3
expected,3
irnp,3
leopard,3
little,3
negatively,3
period,3
primarily,3
relationship,3
senescent,3
yellowstone,3
across,3
carnivores,3
composition,3
conservation,3
detected,3
diets,3
difference,3
due,3
identified,3
inscats,3
previous,3
sampled,3
sampling,3
whereas,3
cselection,3
predatory,3
switch,3
lions,3
experiments,3
commonly,3
differed,3
hymenoptera,3
invertebrate,3
natural,3
observational,3
orthoptera,3
particularly,3
respectively,3
seasons,3
selectivity,3
show,3
similar,3
smaller,3
multiprey,3
variable,3
changed,3
dawn,3
dusk,3
larger,3
model,3
null,3
otter,3
present,3
search,3
rodent,3
analyzed,3
effects,3
rabbits,3
select,3
shifts,3
attack,3
can,3
case,3
given,3
lemmus,3
structure,3
namib,3
electivity,3
field,3
greysided,3
high,3
impact,3
low,3
understand,3
unit,3
index,3
higher,3
thus,3
contrast,3
rarer,3
stabilizing,3
urchins,3
degree,3
per,3
cover,3
vegetation,3
adults,2
assessed,2
central,2
conditions,2
destabilizing,2
efficient,2
force,2
himalayas,2
intake,2
intraspecific,2
known,2
like,2
maximizing,2
mean,2
nepal,2
pattern,2
predatoreprey,2
simulations,2
sites,2
slope,2
steeper,2
stronger,2
variability,2
varied,2
winter,2
ynp,2
abundances,2
avoidance,2
avoided,2
based,2
cells,2
chabitat,2
effective,2
energy,2
factors,2
found,2
gradient,2
grid,2
influencing,2
interspecific,2
inthe,2
mixed,2
models,2
probably,2
proportional,2
reflected,2
role,2
seasonal,2
showed,2
top,2
four,2
sympatric,2
chunting,2
panthera,2
roughlegged,2
ecology,2
leo,2
mosquitofish,2
ningaui,2
cpanthera,2
array,2
blattodea,2
california,2
capture,2
certain,2
combination,2
comparisons,2
consume,2
cpardus,2
diverse,2
eight,2
examine,2
exploit,2
generally,2
lepidoptera,2
observations,2
range,2
scat,2
semiarid,2
sexes,2
showing,2
traps,2
antipredator,2
bipunctata,2
cephalotes,2
grammatica,2
microcephalus,2
alternative,2
curve,2
eaten,2
evidence,2
fed,2
invasive,2
predicted,2
presented,2
provided,2
rather,2
switched,2
competition,2
densitydependent,2
illinois,2
latrans,2
loglinear,2
avian,2
cprey,2
especially,2
estimated,2
exhibited,2
ice,2
limited,2
mammalian,2
poor,2
quantified,2
storm,2
suggests,2
aquarium,2
attacks,2
bottom,2
caused,2
drosoplhila,2
enclosed,2
fraction,2
gradually,2
guppies,2
rare,2
result,2
selected,2
spent,2
surface,2
alces,2
reserve,2
subarctic,2
cabundance,2
desert,2
empirical,2
individual,2
investigate,2
norwegian,2
area,2
determine,2
gemsbok,2
local,2
lupus,2
ostrich,2
predatorprey,2
promote,2
remained,2
therefore,2
cervus,2
interaction,2
intermediate,2
sizeselective,2
change,2
fenced,2
longterm,2
occurs,2
predicts,2
pressure,2
ratio,2
shift,2
invader,2
scavenging,2
areas,2
cancer,2
crabs,2
discussed,2
highest,2
increasingly,2
major,2
near,2
opportunity,2
process,2
rank,2
residence,2
snails,2
trained,2
weak,2
years,2
factor,2
goal,2
maintained,2
wellfed,2
marine,2
classic,2
hunted,2
influence,2
instead,2
pterois,2
safer,2
–,2
volitans,2
followed,2
frr,2
ias,2
magnitudes,2
oceanicus,2
owing,2
propensity,2
salina,2
three,2
varians,2
whilst,2
hunts,2
phinda,2
cfeeding,1
consumers,1
declined,1
driven,1
dynamic,1
environmental,1
evaluate,1
examined,1
exhibit,1
growth,1
habits,1
himalayan,1
importantly,1
inconsistent,1
increasing,1
influenced,1
injury,1
interest,1
isle,1
lastly,1
lower,1
minimizing,1
moose,1
negativefrequency,1
nonrandom,1
numerical,1
opposed,1
positive,1
preying,1
preyswitching,1
pushing,1
ran,1
resilient,1
risk,1
royale,1
severity,1
simulation,1
specifically,1
subset,1
varies,1
wolves’,1
yet,1
aclear,1
agrees,1
ahighrisk,1
argali,1
avast,1
bharal,1
cliffdwelling,1
depended,1
developing,1
distributed,1
double,1
ecosystem,1
flow,1
functioning,1
gazelle,1
generalized,1
goats,1
hibernation,1
highgain,1
horses,1
indiet,1
inmaintaining,1
inprey,1
inscat,1
inthis,1
isessential,1
kiang,1
landscape,1
latitude,1
linear,1
mainly,1
male,1
mammalsbirds,1
marmots,1
material,1
method,1
observer,1
ofan,1
ofboth,1
ofca,1
ofgenotyped,1
ofidentified,1
ofsmall,1
ofsnow,1
ofthe,1
oftheir,1
