"Name","ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","OBJECTID","centroid"
"ANE04ELA",679,"Sarmatic mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",611,c(26.1715072768461, 56.8677200270335)
"ANE04WLA",679,"Sarmatic mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",611,c(22.6554850792514, 56.8245827761585)
"ANE06LUH-M",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(14.7416572771424, 51.4473491940287)
"ATD07NMS",394,"Montana Valley and Foothill grasslands",8,"Temperate Grasslands, Savannas & Shrublands","Nearctic",451,c(-111.420635602383, 45.5147227898092)
"BAD97NWA",375,"Interior Alaska-Yukon lowland taiga",6,"Boreal Forests/Taiga","Nearctic",337,c(-157.764673984488, 66.7533032897093)
"BAA23SIE",792,"Iberian conifer forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",329,c(-3.74181694969063, 40.9651039083781)
"BAA09MCO",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-7.32698120951255, 42.1451219233403)
"BAI20ADC",644,"Appenine deciduous montane forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",36,c(11.9253605451788, 43.6333327742054)
"BAI17ADP",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(11.9611421617957, 43.5143302541527)
"BER08YNP-M",367,"South Central Rockies forests",5,"Temperate Conifer Forests","Nearctic",648,c(-110.857581565312, 44.7022040254881)
"BEI24SNP",647,"Baltic mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",64,c(17.330920912399, 54.689366225583)
"BJE89SNR",376,"Mid-Canada Boreal Plains forests",6,"Boreal Forests/Taiga","Nearctic",438,c(-117.826349354103, 54.834491121353)
"BOI17HSV",754,"Karakoram-West Tibetan Plateau alpine steppe",10,"Montane Grasslands & Shrublands","Palearctic",365,c(76.3891597001826, 35.5259357792808)
"BOD94NFF",361,"Northern Rockies conifer forests",5,"Temperate Conifer Forests","Nearctic",839,c(-114.302954340507, 48.8492347333063)
"CAI04PRA",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(11.611894225537, 43.6763157969701)
"CAI04CCV",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(10.6566453509574, 43.2379918517617)
"CAN83RDM-A",376,"Mid-Canada Boreal Plains forests",6,"Boreal Forests/Taiga","Nearctic",438,c(-100.215964228918, 50.7606035115623)
"CAN83RDM-B",376,"Mid-Canada Boreal Plains forests",6,"Boreal Forests/Taiga","Nearctic",438,c(-100.406008202026, 50.7882757575196)
"CHZ05AGZ",397,"Northern Tallgrass prairie",8,"Temperate Grasslands, Savannas & Shrublands","Nearctic",520,c(-95.9574179892928, 48.3275354660876)
"CHM24GRP",344,"Western Great Lakes forests",4,"Temperate Broadleaf & Mixed Forests","Nearctic",787,c(-89.787263718389, 47.9561112079462)
"CHM24VOY",344,"Western Great Lakes forests",4,"Temperate Broadleaf & Mixed Forests","Nearctic",787,c(-92.8135201272965, 48.3741487430295)
"CHI17CHM",0,"Rock and Ice",11,"N/A","N/A",207,c(84.1719674056729, 28.8780271552957)
"NAK08BOG",726,"Daurian forest steppe",8,"Temperate Grasslands, Savannas & Shrublands","Palearctic",200,c(107.006036623091, 47.7975303853767)
"CII20ALM",644,"Appenine deciduous montane forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",36,c(13.8632973955365, 41.7814353984135)
"DAE95GAN",411,"Brooks-British Range tundra",11,"Tundra","Nearctic",84,c(-153.217133905844, 67.7423116300744)
