Notes,Paper_ID,Study_Area,Area_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Area ,Study_Region,Study_Country,Eco_Code_Olson,Eco_Num_Olson,Realm_Olson,Biome_Olson,Study_Code,Suprarealm_OneEarth,Biome_Detal,Biome_Detal_Name,Bioregion_Olson,Ecoregion_Olson,Ecoregion_OneEarth,Ecoregion_OneEarth2,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Paper_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,OE_Pred_Tot_n,OE_Pred_Larger_n,OE_Pred_Larger_Name,OE_Pred_Smaller_n,OE_Pred_Smaller_Name,HFI,Productivity
,Andersone 2004,East Latvia,ELA,26.17151,56.86772,NR,Jan 1997,Nov 2001,NR,East Latvia,Latvia,PA0436,36,PA,4,ANE04ELA,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80436,679,679,WEE,GEM,PA11,,,,,,,,,,,,,,,,,,,,4,"Roe deer, Elk, Red deer, Wild boar",Yes,,,,,,,,,,,,
,Andersone 2004,West Latvia,WLA,22.65549,56.82458,NR,Jan 1997,Nov 2001,NR,West Latvia,Latvia,PA0436,36,PA,4,ANE04WLA,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80436,679,679,WEE,GEM,PA11,,,,,,,,,,,,,,,,,,,,4,"Roe deer, Elk, Red deer, Wild boar",Yes,,,,,,,,,,,,
"""The main part of the study area is a military training area of about 145 km2, including 100 km2 of forest."" ""former opencast coal mines of large dimensions belong to the wolves´ present home range.""  possible SP and SA overlap with Wagner 2012. WIld game abundant in area. High number of wild ungulates.",Ansorge 2006,Lusatian heath - Muskau heath,LUH-M,14.7416,51.44736,NR,2001,2003,400,Northeastern Saxony,Germany,PA0412,12,PA,4,ANE06LUH-M,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80412,654,654,WEE,GEM,PA12,"""Here, the wolves are safe from permanent human disturbance""",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01-0.0275,,4-11,1 (studied),4-11,,"Rare but regular immigration of wolves from Poland into Germany after WW2. Wolves legally protected in 1990. Occasional occurrence for a few years, then first pair formed in 1998, with successful breeding by 2000. Areas adjacent to Muskau heath only occasionally visited by wolves. ""The Muskau Heath is exactly the area where, in ca. 1800, the wolves still lived while extirpated from the rest of Saxony (Winkelmann 1996)."" Prefer open landscape for hunting. Raised between 2-5 pups each year during the study.  The 2000 pups left natal territory in 2002,mand settled in the western portion of study area, then later split up with only 1-2 wolves remaining in that area. Pups from 2001 left but don't know where to (or when). If 2000's pups left in 2002, then in 2001 there wouldve been either 8-11 wolves total? Min 2 pups therefore min # of wolves would be 4.",6500 sheep in study area that graze in the summer months. almost all are grazed within twoo layers of electric fences 24 hours a day. A few livestock attacks have been reported. Cattle also present.,4,"Red deer (Cervus elaphus), roe deer (Capreolus capreolus), wild boar (Sus scrofa), mouflon (Ovis ammon musimon)",NR,NR,NR,NR,NR,Fox (Vulpes vulpes),2,1,Brown bear,1,Eurasian lynx,,
elk were primary prey for wolves and mule deer were primary prey for cougars,Atwood 2007,Northern Madison Study Area (NMSA),NMS,-111.42069,45.51488,NR,2003,2005,680,Montana,USA,NA0528,28,NA,5,ATD07NMS,NA,8,"Temperate Grasslands, Savannas & Shrublands",NA05,50528,367,394,NOA,AMW,NA13,Privately owned,NR,-34,32,NR,NR,NR,NR,1300,2500,1300-2500,0.0029-0.0118,0.007352941176,2-8,1,2-8,5,Recolonized study area in winter 2002. Bear trap pack averaged 5 wolves (range: 2-8),Not mentioned so presumably none,4,"elk (Cervus elaphus), mule deer (Odocoileus hemionus), white-tailed deer (Odocoileus virginianus), and moose (Alces alces)",NR,4,3,"grizzly bears (Ursus arctos horribilis), black bears (Ursus americanus), cougars (Puma concolor)",1,"coyotes (Canis latrans),",,,,,,,
Snow ranges from almost zero to several meters deep. ,Ballard 1997,Northwest Alaska,NWA,-157.77654,66.76391,NR,1987,1992,12280,Alaska,USA,NA0607,7,NA,6,BAD97NWA,NA,6,Boreal Forests/Taiga,NA06,50607,375,375,SUA,ALA,NA4,Game management unit 23,NR,-51 (-34 for non extreme),32 (summer avg was 16),"60-80 in lowlands, <or= 120 in uplands",NR,~0-400,Winter=October-april (7months),~0,1231,near sea level - 1231,0.00155-0.0066,0.003965,30-103,19,2-24,9.7,"Estimated wolf density was 12.9/1000km^2 in 1977. ""Spring wolf densities increased from 2.7 to 4.4 wolves/1,000 km2 during 1987 through 1990, and then declined to 1.5 wolves/1000km2 following a rabies epizootic"". Harvested yearly by hunters and game officials. Radio collared 86 wolves in 19 packs and relocated them on 1,830 occasions. Usually resident packs. Average winter territory size was 1372  +/- 175 km^2. Some packs followed caribou herds when moose densities were low. Average spring wolf weights in kg: Adult M=47.3, Adult F= 42.2, Yearling M= 46.2, Yearling F= 41.9, Pup M= 44.6, Pup F= 37.5 (for standard errors see table 1). Table 4 has in depth pop data, unclear why they only used some packs in density calculations (ie. density calculations were not done using all wolves). Peak wolf density was 6.6/1000km^2 in autumn 1989. Average number of wolves (calculated using all wolves) was 61 wolves",No mention,4,"Caribou, moose (Alces alces), Dall sheep (Ovis dalli), muskox (Ovibos moschatus)",Yes,5,2,"Brown bear (Ursus arctos), black bear (U. americanus)",3,"Red fox (Vulpes vulpes), wolverine (Gulo gulo), lynx (Felis lynx)",,,,,,,
"didn't directly give the elevation range of the study, moreso just describerd the vegetation at different elevation ranges. Looking on google earth elevation seems to be more like 1100-2200",Barja 2023,Sierra de Guadarrama NP and Sierra del Rincón BR,SIE,-3.741817,40.9651,NR,2017,2021,1007.75,Central Spain,Spain,PA1208,8,PA,12,BAA23SIE,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81208,792,792,WEE,MED,PA20,"National Park (since 2013) and UNESCO Bioreserve (since 2005, expanded in 2022)",NR,-3.2,22.4,NR,1223,NR,NR,1100,1900,1100-1900,,,,,,,"EU Habitats Directive deems wolve south of the Duero River under strict protection in Annex IV, north of the river under more flexible Annex V status. Differ due to different levels of livesstock damge on either side of the river. Iberian wolf does not meet Spains ""vulnerable"" status but Spanish gov gave wolves in the country Annex IV protections across the country, meaning banned from being hunted since Sept 2021. ""The wolf feeds mainly on medium and large ungulates that coexist in its distribution range [32], becoming skilled in the selective hunting of a particular species depending on its availability in each habitat [22,33]."" Somewhat recently recolonized in study area.","""However, domestic ungulates were also present in the study area, especially in summer, which takes advantage of pastures coming from a multitude of livestock huts such as cattle, goat (Capra aegagrus hircus), sheep (Ovis orientalis aries), and horses.""",4,"Roe deer, red deer, wild boar, mountain goat",NR,,,,,,,,,,,,
has habitaat type descriptions but not quantitative,Barja 2009,Macizo Central Ourensano,MCO,-7.32698,42.14514,NR,1998,2002,120,Iberian Peninsula,Spain ,PA0406,6,PA,4,BAA09MCO,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80406,648,648,WEE,GEM,PA10,Includes a natural park,NR,2.6,21,NR,1185,NR,frequent between Nov-April,850,1707,850-1707,NR,NR,NR,NR,NR,NR,"have pups (and thus high energy needs) in spring and summer. ""The trophic position of the wolf in the study area is closer to a facultative specialist than to an opportunist species, because a facultative specialist may change from a key food item when other profitable prey is available (Glasser 1982).""","Present. Horses, cattle, goat, sheep",5,"Roe deer, red deer, wild boar, fallow deer, mouflon",NR,NR,NR,NR,NR,NR,,,,,,,
temp and rain data from Bassi 2012 (which the paper sites as the location of further info),Bassi 2020,Alpe di Catenaia,ADC,11.92536,43.63333,only given for the entire province,May 2000,April 2010,120,Arezzo Province,Italy,PA0401,1,PA,4,BAI20ADC,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80401,644,644,WEE,MED,PA19,"27km^2 of strictly protected area, other 93km^2 is not protected and hunting is allowed",,-0.4,37.2,2270-18870,NR,"""occaisional""",October-April,300,1414,200-1414,,,2-6,1,2-6,4.9,Only one pack in area,No mention,3,"Wild boar, Roe deer, Red deer",NR,1,0,NA,1,Red fox (Vulpes vulpes),,,,,,,
,Bassi 2017,Alpe di Poti,ADP,11.96114,43.51433,NR,2004/5,2012/3,234,Arezzo Province,Italy,PA1211,11,PA,12,BAI17ADP,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Becker 2008,Yellowstone National Park Madison Headwaters area,YNP-M,-110.85758,44.70225,NR,1996,2007,310,YNP,USA,NA0528,28,NA,5,BER08YNP-M,NA,5,Temperate Conifer Forests,NA05,50528,367,367,NOA,AMW,NA13,,,,,,,,,,,,,,37 (or more),4,,,37 wolves from 4 packs radiocollared over study period,,,,,,,,,,,,,,,,
