"Study_Area_Name","Ecoregion_ID","Ecoregion_Name","Overlap_Percentage"
"ANE06MKH",654,"Central European mixed forests",100
"ATD07NMS",394,"Montana Valley and Foothill grasslands",46.77
"ATD07NMS",367,"South Central Rockies forests",53.23
"BAD97NWA",409,"Beringia lowland tundra",28.27
"BAD97NWA",411,"Brooks-British Range tundra",4.08
"BAD97NWA",375,"Interior Alaska-Yukon lowland taiga",59.15
"BAD97NWA",416,"Interior Yukon-Alaska alpine tundra",8.5
"BAA09MCO",648,"Cantabrian mixed forests",82.76
"BAA09MCO",800,"Northwest Iberian montane forests",17.24
"BAI12ADC",644,"Appenine deciduous montane forests",67.15
"BAI12ADC",795,"Italian sclerophyllous and semi-deciduous forests",32.85
"BER08YNP-M",367,"South Central Rockies forests",100
"BJE89SNR",345,"Alberta-British Columbia foothills forests",5.41
"BJE89SNR",376,"Mid-Canada Boreal Plains forests",94.59
"BOI17HSV",0,"Rock and Ice",58.6
"BOI17HSV",754,"Karakoram-West Tibetan Plateau alpine steppe",41.4
"BOD94NFF",361,"Northern Rockies conifer forests",100
"CAI04SSV",689,"Alps conifer and mixed forests",100
"CAI04PRA",795,"Italian sclerophyllous and semi-deciduous forests",100
"CAI04CCV",795,"Italian sclerophyllous and semi-deciduous forests",100
"CAN83RDM-A",376,"Mid-Canada Boreal Plains forests",100
"CAN83RDM-B",376,"Mid-Canada Boreal Plains forests",100
"CHZ05AGZ",397,"Northern Tallgrass prairie",97.15
"CHZ05AGZ",344,"Western Great Lakes forests",2.85
"CHI17CHM",0,"Rock and Ice",28.18
"CHI17CHM",751,"Eastern Himalayan alpine shrub and meadows",45.45
"CHI17CHM",309,"Eastern Himalayan subalpine conifer forests",3.74
"CHI17CHM",769,"Western Himalayan alpine shrub and meadows",17.84
"CHI17CHM",308,"Western Himalayan broadleaf forests",4.79
"CUS11SIM",214,"Simpson desert",100
"CUS11NUL",212,"Nullarbor Plains xeric shrublands",100
"CUS11SZD",214,"Simpson desert",100
"DAS12ADC",644,"Appenine deciduous montane forests",67.19
"DAS12ADC",795,"Italian sclerophyllous and semi-deciduous forests",32.81
"DOV22OOM",646,"Balkan mixed forests",100
"FEI19UCH",795,"Italian sclerophyllous and semi-deciduous forests",99.84
"FIO20MNP",800,"Northwest Iberian montane forests",100
"FOS96AGP-A",333,"Eastern Canadian Forest-Boreal transition",100
"FOS96AGP-B",333,"Eastern Canadian Forest-Boreal transition",100
"FOS96AGP-C",333,"Eastern Canadian Forest-Boreal transition",100
"GAA05GSV",689,"Alps conifer and mixed forests",100
"GAA07AVS",689,"Alps conifer and mixed forests",100
"GUS22PAP",692,"Carpathian montane forests",45.82
"GUS22PAP",674,"Pannonian mixed forests",54.18
"GUS22VPM",692,"Carpathian montane forests",77.94
"GUS22VPM",674,"Pannonian mixed forests",22.06
"GUS22MRP",692,"Carpathian montane forests",100
"GUS22PNP",692,"Carpathian montane forests",100
"HAS00FLL",419,"Ogilvie-MacKenzie alpine tundra",27.7
"HAS00FLL",383,"Watson Highlands taiga",72.3
"HEE03BVB",361,"Northern Rockies conifer forests",100
"HOI13GHA",688,"Zagros Mountains forest steppe",100
"HOY21ILR",344,"Western Great Lakes forests",99.63
