Paper ID,Study Area,"Study Area 
(km²)",Prey Identity ,"Prey Taxonomic
Name",Years,# ind,Density (#/km²),± SE,Avg. Mass (kg),"Biomass Available 
(kg/km²)","Proportion Items 
Available","Proportion Biomass
Available ",Scat Sample Size,# consumed,# consumed/km²,"Mean percent 
volume (%)","Ingested biomass 
(kg/scat)","Biomass Consumed
Method","Rel. Number of 
Items Consumed (%)","Rel. Biomass
 Consumed ","Absolute FO 
(%)","Corrected FO item 
per scat (%)","Relative FO
(%)","Manly-Chesson 
Index Ni Value","Manly-Chesson 
Index Biomass Value",m, 1/m,"Standard Manly-Chesson 
Equation used?",Jacob's index,"Standard Jacob 
Used?",Livestock or Wild?,"Fight? Flight? 
Guarded?",Notes
Chetri 2017,Central Himalayas,5000,Bharal,,,29850,5.97,0.1,,202.98,0.13839,0.07382621125,57,,,,,y=0.439+0.008x,1.76,4.09,,,4.42,,,,,,,,Wild,,Cliff-dwelling
Chetri 2017,Central Himalayas,5000,Himalayan Tahr,,,4250,0.85,0.22,,42.50,0.0197,0.01545774942,57,,,,,y=0.439+0.008x,0,0,,,0,,,,,,,,Wild,,Cliff-dwelling
Chetri 2017,Central Himalayas,5000,Tibetan argali,,,1200,0.24,0.4,,19.20,0.00556,0.006983265622,57,,,,,y=0.439+0.008x,2.3,12.57,,,8.95,,,,,,,,Wild,,Plains-dwelling
Chetri 2017,Central Himalayas,5000,Tibetan gazelle,,,450,0.09,0.14,,1.80,0.00209,0.0006546811521,57,,,,,y=0.439+0.008x,6.31,8.62,,,11.05,,,,,,,,Wild,,Plains-dwelling
Chetri 2017,Central Himalayas,5000,Kiang,,,1250,0.25,0.12,,25.00,0.0058,0.009092793779,57,,,,,y=0.439+0.008x,2.56,17.48,,,10.84,,,,,,,,Wild,,Plains-dwelling
Chetri 2017,Central Himalayas,5000,Goat,,,81950,16.39,0.16,,409.75,0.37993,0.14903089,57,,,,,y=0.439+0.008x,4.15,7.1,,,8.53,,,,,,,,Livestock,"semi-guarded, dispersed in pasture",Plains-dwelling
Chetri 2017,Central Himalayas,5000,Sheep,,,31800,6.36,0.09,,190.80,0.14743,0.06939620212,57,,,,,y=0.439+0.008x,0.53,1.09,,,1.23,,,,,,,,Livestock,"semi-guarded, less dispersed in pasture",Plains-dwelling
Chetri 2017,Central Himalayas,5000,Horse,,,6200,1.24,0.06,,136.40,0.02874,0.04961028286,57,,,,,y=0.439+0.008x,1.2,9.03,,,5.26,,,,,,,,Livestock,unattended in pastures,Plains-dwelling
Chetri 2017,Central Himalayas,5000,Yak/Chaur,,,54600,10.92,0.14,,1638.00,0.25313,0.5957598484,57,,,,,y=0.439+0.008x,0.87,8.92,,,4.18,,,,,,,,Livestock,"unattented, too large",Plains-dwelling
Chetri 2017,Central Himalayas,5000,Lulu Cow,,,4150,0.83,0.04,,83.00,0.01924,0.03018807535,57,,,,,y=0.439+0.008x,1.09,7.42,,,4.6,,,,,,,,Livestock,,Plains-dwelling
