Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,Num_Avail_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pop_Scale
,Atwood 2007,Northern Madison Range,680,Elk,Cervus elaphus,Cervus elaphus,2416,,,3.552941176,,,240,,,,,,,96,67,,0.7,,,,Wild,,,,,1,"2003-2005, January-May",MWI,P-3-3,AS,MWI,3,SNOW,3,ATD07NMS,NMS,4,PACK
,Atwood 2007,Northern Madison Range,680,Mule deer,Odocoileus hemionus,Odocoileus hemionus,425,,,0.625,,,83.8,,,,,,,96,4,,0.04,,,,Wild,,,,,1,"2003-2005, January-May",MWI,P-3-3,AS,MWI,3,SNOW,3,ATD07NMS,NMS,4,PACK
,Atwood 2007,Northern Madison Range,680,White tailed deer,Odocoileus virginianus,Odocoileus virginianus,550,,,0.8088235294,,,75,,,,,,,96,25,,0.26,,,,Wild,,,,,1,"2003-2005, January-May",MWI,P-3-3,AS,MWI,3,SNOW,3,ATD07NMS,NMS,4,PACK
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,663,,,2.138709677,,,240,,,,,,,15,15,15,,,1,,Wild,,,,,1,Winter 1997/8,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,562,,,1.812903226,,,620,,,,,,,15,0,15,,,0,,Wild,,,,,1,Winter 1997/8,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,732,,,2.361290323,,,240,,,,,,,63,51,63,,,0.8095238095,,Wild,,,,,2,Winter 1998/9,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,679,,,2.190322581,,,620,,,,,,,63,12,63,,,0.1904761905,,Wild,,,,,2,Winter 1998/9,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,490,,,1.580645161,,,240,,,,,,,52,49,52,,,0.9423076923,,Wild,,,,,3,Winter 1999/2000,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,704,,,2.270967742,,,620,,,,,,,52,3,52,,,0.05769230769,,Wild,,,,,3,Winter 1999/2000,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,691,,,2.229032258,,,240,,,,,,,73,71,73,,,0.9726027397,,Wild,,,,,4,Winter 2000/1,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
