Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Pack_Name,n_Packs,n_Wolves,Avg_Wolf_Density,Range_Wolf_Density,Avg_Pack_Size,Range_Pack_Size,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Pop_Scale
,Atwood 2007,Northern Madison Range,680,Elk,Cervus elaphus,Cervus elaphus,"2003-2005, January-May",2416,,,3.552941176,,,240,,,,,,,96,67,,0.7,,,,Wild,,,,,,,,,,,1,P-3-3,AS,MWI,3,SNOW,MWI,3,ATD07NMS,NMS,4,PACK
,Atwood 2007,Northern Madison Range,680,Mule deer,Odocoileus hemionus,Odocoileus hemionus,"2003-2005, January-May",425,,,0.625,,,83.8,,,,,,,96,4,,0.04,,,,Wild,,,,,,,,,,,1,P-3-3,AS,MWI,3,SNOW,MWI,3,ATD07NMS,NMS,4,PACK
,Atwood 2007,Northern Madison Range,680,White tailed deer,Odocoileus virginianus,Odocoileus virginianus,"2003-2005, January-May",550,,,0.8088235294,,,75,,,,,,,96,25,,0.26,,,,Wild,,,,,,,,,,,1,P-3-3,AS,MWI,3,SNOW,MWI,3,ATD07NMS,NMS,4,PACK
Some wolves or packs will sometimes follow the caribou herds when prey density in territory is low (mean of 11% of packs annually migrated with caribou),Ballard 1997,Northwest Alaska,12280,Caribou,Rangifer tarandus granti,Rangifer tarandus,April 1987-July 1992,,,,0.9464065085,86,"From Fish and Wildlife personal communications, the mean of the average adult male (96kg) and the average adult female (76kg)",108,,,,,,,168,93,,,,,,Wild,,,Migratory and thus caribou availability can change drastically at different times of year and for different packs.  Caribou are on their spring migration (and travelling through the study area) during this study period. May-June they calve in the northern part of the study area. After calving move to the eastern half of the study area then late Oct/Nov they migrate to the south portion of the study area and during winter about half of the herd is further south than the study area (ie half the herd spends winter in the southern portion of the study area). ,,,,0.003965,0.00155-0.0066,9.7,2-24,,P-1-5,AS,SSU,1,AWT,MYR,5,BAD97NWA,NWA,,POP
,Ballard 1997,Northwest Alaska,12280,Moose,Alces alces,Alces alces,April 1987-July 1992,,,,0.166,427,"From Franzmann et al. 1978 and Hayes et al. 1991, the mean of the average adult male (454kg) and the average adult female (400kg)",481,,,,,,,168,71,,,,,,Wild,,,"13% of cows have twins (ie this pop is below the average moose twinning rate of 33% in the rest of north america). ""Moose typically use relatively high elevations during summer and autumn and move to lowland riparian areas for winter.""",,,,0.003965,0.00155-0.0066,9.7,2-24,,E-2-5,AS,SWI,1,AWT,MYR,5,BAD97NWA,NWA,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 1997/8,663,,,2.138709677,,,240,,,,,,,15,15,15,,,1,,Wild,,,,,,,,,,,1,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 1997/8,562,,,1.812903226,,,620,,,,,,,15,0,15,,,0,,Wild,,,,,,,,,,,1,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 1998/9,732,,,2.361290323,,,240,,,,,,,63,51,63,,,0.8095238095,,Wild,,,,,,,,,,,2,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 1998/9,679,,,2.190322581,,,620,,,,,,,63,12,63,,,0.1904761905,,Wild,,,,,,,,,,,2,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 1999/2000,490,,,1.580645161,,,240,,,,,,,52,49,52,,,0.9423076923,,Wild,,,,,,,,,,,3,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 1999/2000,704,,,2.270967742,,,620,,,,,,,52,3,52,,,0.05769230769,,Wild,,,,,,,,,,,3,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2000/1,691,,,2.229032258,,,240,,,,,,,73,71,73,,,0.9726027397,,Wild,,,,,,,,,,,4,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2000/1,641,,,2.067741935,,,620,,,,,,,73,2,73,,,0.02739726027,,Wild,,,,,,,,,,,4,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2001/2,495,,,1.596774194,,,240,,,,,,,91,75,91,,,0.8241758242,,Wild,,,,,,,,,,,5,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2001/2,743,,,2.396774194,,,620,,,,,,,91,16,91,,,0.1758241758,,Wild,,,,,,,,,,,5,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2002/3,389,,,1.25483871,,,240,,,,,,,75,61,75,,,0.8133333333,,Wild,,,,,,,,,,,6,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2002/3,852,,,2.748387097,,,620,,,,,,,75,14,75,,,0.1866666667,,Wild,,,,,,,,,,,6,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2003/4,233,,,0.7516129032,,,240,,,,,,,106,82,106,,,0.7735849057,,Wild,,,,,,,,,,,7,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2003/4,947,,,3.05483871,,,620,,,,,,,106,24,106,,,0.2264150943,,Wild,,,,,,,,,,,7,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2004/5,278,,,0.8967741935,,,240,,,,,,,94,61,94,,,0.6489361702,,Wild,,,,,,,,,,,8,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2004/5,1005,,,3.241935484,,,620,,,,,,,94,33,94,,,0.3510638298,,Wild,,,,,,,,,,,8,D,,,,,SWI,,BER08YNP-M,YNP-M,2,POP
