Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Timepoint,Period,Season,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,n_Kills_Tot,n_Kills_Prey,Prop_Kills,Ratio_Kills,km2_Num_Consumed,Raw_BM_Consumed_kg,Perc_BM_Edible,Orig_BM_Consumed,Orig_Prop_BM_Consumed,Orig_Rat_BM_Cons,Livestock_Wild,Fight_Flight_Guarded,Prey_Notes,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,1,Winter 1997/8,SWI,663,,,2.138709677,,,240,,,,,,,,15,15,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,1,Winter 1997/8,SWI,562,,,1.812903226,,,620,,,,,,,,0,0,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,2,Winter 1998/9,SWI,732,,,2.361290323,,,240,,,,,,,,51,51,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,2,Winter 1998/9,SWI,679,,,2.190322581,,,620,,,,,,,,12,12,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,3,Winter 1999/2000,SWI,490,,,1.580645161,,,240,,,,,,,,49,49,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,3,Winter 1999/2000,SWI,704,,,2.270967742,,,620,,,,,,,,3,3,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,4,Winter 2000/1,SWI,691,,,2.229032258,,,240,,,,,,,,71,71,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,4,Winter 2000/1,SWI,641,,,2.067741935,,,620,,,,,,,,2,2,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,5,Winter 2001/2,SWI,495,,,1.596774194,,,240,,,,,,,,75,75,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,5,Winter 2001/2,SWI,743,,,2.396774194,,,620,,,,,,,,16,16,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,6,Winter 2002/3,SWI,389,,,1.25483871,,,240,,,,,,,,61,61,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,6,Winter 2002/3,SWI,852,,,2.748387097,,,620,,,,,,,,14,14,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,7,Winter 2003/4,SWI,233,,,0.7516129032,,,240,,,,,,,,82,82,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,7,Winter 2003/4,SWI,947,,,3.05483871,,,620,,,,,,,,24,24,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,8,Winter 2004/5,SWI,278,,,0.8967741935,,,240,,,,,,,,61,61,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,8,Winter 2004/5,SWI,1005,,,3.241935484,,,620,,,,,,,,33,33,,,,,,,,,Wild,,,,,,,,,BER08YNP-M,YNP-M,,,,,POP
