Paper_ID,Study_Area,Area ,Prey_Identity ,Prey_Taxa,Prey_Taxa_Valid,Years,Num_Ind,Density,Density_Err,Avg_Mass_kg,Mass_Cat_A,BM_Avail,Prop_BM_Avail,Prop_Items_Avail,Scat_n,Num_Consumed,km2_Num_Consumed,Mean_perc_volume,Prop_Items_Consumed,Meth_BM_Consumed,BM_Consumed,Prop_BM_Consumed ,Absolute_FO,Err_Absolute_FO,Corrected_Abs_FO,Relative_FO,Livestock_Wild,Fight_Flight_Guarded,Notes,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM
Chetri 2017,Central Himalayas,5000,Bharal,Pseudois nayaur,Pseudois nayaur,2012-2013,29850,5.97,0.1,34,Medium,202.98,0.07382621125,0.13839,57,,,,0.0176,y=0.439+0.008x,,0.0409,,,,4.42,Wild,,Cliff-dwelling,0.5540037787,-0.3029446248,-0.2869981575,0.003174685641
Chetri 2017,Central Himalayas,5000,Himalayan tahr,Hemitragus jemlahicus,Hemitragus jemlahicus,2012-2013,4250,0.85,0.22,50,Medium,42.50,0.01545774942,0.0197,57,,,,0,y=0.439+0.008x,,0,,,,0,Wild,,Cliff-dwelling,0,-1,-1,0
Chetri 2017,Central Himalayas,5000,Tibetan argali,Ovis ammon hodgsonii,Ovis ammon hodgsonii,2012-2013,1200,0.24,0.4,80,Medium,19.20,0.006983265622,0.00556,57,,,,0.023,y=0.439+0.008x,,0.1257,,,,8.95,Wild,,Plains-dwelling,18.00017453,0.9067352377,0.894737809,0.1031489275
Chetri 2017,Central Himalayas,5000,Tibetan gazelle,Procapra picticaudata,Procapra picticaudata,2012-2013,450,0.09,0.14,20,Small,1.80,0.0006546811521,0.00209,57,,,,0.0631,y=0.439+0.008x,,0.0862,,,,11.05,Wild,,Plains-dwelling,131.6671478,0.9862062457,0.9849246778,0.7545107443
Chetri 2017,Central Himalayas,5000,Kiang,Equus kiang,Equus kiang,2012-2013,1250,0.25,0.12,100,Medium,25.00,0.009092793779,0.0058,57,,,,0.0256,y=0.439+0.008x,,0.1748,,,,10.84,Wild,,Plains-dwelling,19.22401456,0.9169585602,0.9011076661,0.1101620699
Chetri 2017,Central Himalayas,5000,Goat,Capra hircus,Capra hircus,2012-2013,81950,16.39,0.16,25,Small,409.75,0.14903089,0.37993,57,,,,0.0415,y=0.439+0.008x,,0.071,,,,8.53,Livestock,"semi-guarded, dispersed in pasture",Plains-dwelling,0.4764112996,-0.3923743006,-0.3546360696,0.002730046563
Chetri 2017,Central Himalayas,5000,Sheep,Ovis aries,Ovis aries,2012-2013,31800,6.36,0.09,30,Medium,190.80,0.06939620212,0.14743,57,,,,0.0053,y=0.439+0.008x,,0.0109,,,,1.23,Livestock,"semi-guarded, less dispersed in pasture",Plains-dwelling,0.1570691143,-0.7424943347,-0.7285052166,0.0009000751995
Chetri 2017,Central Himalayas,5000,Horse,Equus ferus caballus,Equus caballus,2012-2013,6200,1.24,0.06,110,Large,136.40,0.04961028286,0.02874,57,,,,0.012,y=0.439+0.008x,,0.0903,,,,5.26,Livestock,unattended in pastures,Plains-dwelling,1.820187163,0.3107255461,0.2908272095,0.01043047407
Chetri 2017,Central Himalayas,5000,Yak/Chauri,Bos spp,,2012-2013,54600,10.92,0.14,150,Large,1638.00,0.5957598484,0.25313,57,,,,0.0087,y=0.439+0.008x,,0.0892,,,,4.18,Livestock,"unattented, too large",Plains-dwelling,0.1497247595,-0.8753768832,-0.7395467772,0.000857988812
Chetri 2017,Central Himalayas,5000,Lulu cow,Bos taurus sp,Bos taurus,2012-2013,4150,0.83,0.04,100,Medium,83.00,0.03018807535,0.01924,57,,,,0.0109,y=0.439+0.008x,,0.0742,,,,4.6,Livestock,,Plains-dwelling,2.457924169,0.4405238017,0.4216183171,0.01408498798
