Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
,Ansorge 2006,Lusatian heath - Muskau heath,400,Red deer,Cervus elaphus,Cervus elaphus,1000,0.1026694045,2.5,0.09310986965,"adult= 65, calve=25","estimates based on hunter kills in area, adult= 65, calve=25",240,,,240000,600,0.3954444796,0.654107797,192,61,204,31.8,,,,29.90196078,0.4265734266,,,0.369,,143.899,256.148,0.5617806893,1.281962423,,Wild,,,"High density, especieally in the restricted military areas",,,,,,1,2001-2003,MYR,P-3-3,HH,SP,3,U,3,ANE06LUH-M,LUH-M,4,UK,UK,UK
,Ansorge 2006,Lusatian heath - Muskau heath,400,Roe deer,Capreolus capreolus,Capreolus capreolus,2080,0.2401847575,5.2,0.1936685289,"adult= 15, fawn=4",estimates based on hunter kills in area,22.4,,,46592,116.48,0.07676895497,0.08315248429,192,95,204,49.5,,,,46.56862745,0.871559633,,,0.374,,58.729,256.148,0.2292776051,0.2974840314,,Wild,,,"High density, especieally in the restricted military areas",,,,,,1,2001-2003,MYR,P-3-3,HH,SP,3,U,3,ANE06LUH-M,LUH-M,4,UK,UK,UK
,Ansorge 2006,Lusatian heath - Muskau heath,400,Wild boar,Sus scrofa,Sus scrofa,1160,0.121085595,2.9,0.1080074488,"adult= 45, piglet=10",estimates based on hunter kills in area,84.5,,,98020,245.05,0.1615061162,0.192614543,192,48,204,25,,,,23.52941176,0.3076923077,,,0.182,,53.52,256.148,0.2089417056,0.2641293405,,Wild,,,"High density, especieally in the restricted military areas",,,,,,1,2001-2003,MYR,P-3-3,HH,SP,3,U,3,ANE06LUH-M,LUH-M,4,UK,UK,UK
"Sheep numbers were only mentioned in the discussion, maybe remove? ",Ansorge 2006,Lusatian heath - Muskau heath,400,Sheep,Ovis aries,Ovis aries,6500,1.533018868,16.25,0.6052141527,,,34.2,,,222300,555.75,0.3662804492,0.5779850863,192,0,204,0,,,,0,0,,,0,,0,256.148,0,0,,Livestock,,,Grazed regularly but guarded by two layers of electric fence 24h a day in the summer,,,,,,1,2001-2003,MYR,P-3-3,U,U,U,U,U,ANE06LUH-M,LUH-M,4,UK,UK,UK
relative availability was only calculated considering wild ungulates. also unclear if their occurence measure was Abs or Rel FO,Barja 2009,Macizo Central Ourensano,120,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,0.596,11.5,"Mean mass of adults (24.5 kg) and juvenile (7kg) based on relative consumption of the two classes. Numbers from Urios 1995, Llaneza et al. 1996, Blanco 1998 and Mateos-Quesada 2002",22.4,,,,,,,508,319,488,62.8,,,,65.36885246,1.887573964,,38.2,0.429,,197.2058,446.2704,0.4418975581,0.7917857455,,Wild,,,"""greater vulnerability in comparison to with other wild ungulates"". Consumption increased in summer aka fawning season when juveniles are especially vulnerable. Roe deer fawns left along by mothers for extended periods, making them more vulnerable to wolves.",,,,,,1,May 1998-Oct 2002,MYR,P-1-5,CNT,YR,1,SNR,5,BAA09MCO,MCO,5,UK,UK,UK
,Barja 2009,Macizo Central Ourensano,120,Red deer,Cervus elaphus,Cervus elaphus,,,,0.302,90,"Mean mass of adults (90kg) and juvenile (25kg) based on relative consumption of the two classes. Numbers from Urios 1995, Llaneza et al. 1996, Blanco 1998 and Mateos-Quesada 2002",240,,,,,,,508,64,488,12.6,,,,13.1147541,0.1509433962,,28.1,0.316,,150.976,446.2704,0.3383061032,0.5112728179,,Wild,,,"larger, less vulnerable than roe deer. there is a reproduction fence for red deer in the study area.",,,,,,1,May 1998-Oct 2002,MYR,P-1-5,CNT,YR,1,SNR,5,BAA09MCO,MCO,5,UK,UK,UK
PanTheria has no distiction between wild or domestic pigs.,Barja 2009,Macizo Central Ourensano,120,Wild boar,Sus scrofa,Sus scrofa,,,,0.102,31.2,"Mean mass of adults (75kg) and juvenile (22kg) based on relative consumption of the two classes. Numbers from Urios 1995, Llaneza et al. 1996, Blanco 1998 and Mateos-Quesada 2002",84.5,,,,,,,508,51,488,10,,,,10.45081967,0.1167048055,,10.2,0.115,,56.865,446.2704,0.1274227464,0.1460303324,,Wild,,,"larger and less vulnerable than roe deer. Birthing seasons in autumn and spring (autumn if favourable conditions, march is main season) (wolf consumption of wild boar increases during these times",,,,,,1,May 1998-Oct 2002,MYR,P-1-5,CNT,YR,1,SNR,5,BAA09MCO,MCO,5,UK,UK,UK
Unweighted average of goat and sheep weight,Barja 2009,Macizo Central Ourensano,120,Goats and sheep,Capra aegagrus and Ovis aries,Capra hircus and Ovis aries,700,,5.833333333,,"Goat 26.3, Sheep 28.5","Mean mass of adults (Goat: 26.3kg, sheep: 28.5kg) and juvenile (Goat: 5kg, sheep: 5kg) based on relative consumption of the two classes. Numbers from Urios 1995, Llaneza et al. 1996, Blanco 1998 and Mateos-Quesada 2002",40.55,,,,,,,508,54,488,10.6,,,,11.06557377,0.1244239631,,10.1,0.113,,41.2236,446.2704,0.09237359233,0.101774906,,Livestock,,,"available year round. ""maintained in an intensive system""",,,,,,1,May 1998-Oct 2002,MYR,P-5-5,U,U,1,SNR,5,BAA09MCO,MCO,5,UK,UK,UK
Unweighted average of cow and horse weight,Barja 2009,Macizo Central Ourensano,120,Cattle and horses,Bos taurus and Equus caballus,Bos taurus and Equus caballus,86,,0.7166666667,,,,506.5,,,,,,,508,0,488,0,,,,0,0,,0,0,,0,446.2704,0,0,,Livestock,,,"""in a zone of the study area (Montes do Invernadeiro Natural Park), horses and cows were kept in an extensive system"". Available year round",,,,,,1,May 1998-Oct 2002,MYR,P-5-5,U,U,1,SNR,5,BAA09MCO,MCO,5,UK,UK,UK
,Bocci 2017,Hushey valley,4000,Sheep,,Ovis aries,700,0.6363636364,0.175,0.3889,,,34.2,,,23940,5.985,0.1027071088,0.1144633038,57,32,86,56.9,,32.7,,37.20930233,0.5925925926,38.2,,,,22.8032,104.6412,0.2179179902,0.2786382854,,Livestock,,,"stay close to village. ""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,,,1,2011-2012 Year-round,SWS,P-1-1,U,U,1,T,1,BOI17HSV,HSV,5,3,1,2
